"","clave_entidad","nom_ent","pob_ent"
"1","01","AGUASCALIENTES",1422968
"2","02","BAJA CALIFORNIA",3727360
"3","03","BAJA CALIFORNIA SUR",797074
"4","04","CAMPECHE",927880
"5","05","COAHUILA DE ZARAGOZA",3146440
"6","06","COLIMA",731362
"7","07","CHIAPAS",5543291
"8","08","CHIHUAHUA",3741345
"9","09","CIUDAD DE MÉXICO",9209654
"10","10","DURANGO",1831763
"11","11","GUANAJUATO",6156407
"12","12","GUERRERO",3539915
"13","13","HIDALGO",3082756
"14","14","JALISCO",8346835
"15","15","MÉXICO",16952004
"16","16","MICHOACÁN DE OCAMPO",4737474
"17","17","MORELOS",1935446
"18","18","NAYARIT",1235106
"19","19","NUEVO LEÓN",5783281
"20","20","OAXACA",4125401
"21","21","PUEBLA",6583266
"22","22","QUERÉTARO",2367708
"23","23","QUINTANA ROO",1857726
"24","24","SAN LUIS POTOSÍ",2822208
"25","25","SINALOA",3011837
"26","26","SONORA",2944105
"27","27","TABASCO",2402585
"28","28","TAMAULIPAS",3527668
"29","29","TLAXCALA",1340119
"30","30","VERACRUZ DE IGNACIO DE LA LLAVE",8057539
"31","31","YUCATÁN",2320473
"32","32","ZACATECAS",1621695
